lat,lon,pano_id,date,copyright,headings,url_h0,url_h90,url_h180,url_h270
6.45,3.134,HgVpcmJN08mLdVA_K1CyoA,2017-03,© Google,"0,90,180,270","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.45,3.134&fov=90&heading=0&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.45,3.134&fov=90&heading=90&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.45,3.134&fov=90&heading=180&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.45,3.134&fov=90&heading=270&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4"
6.451,3.135,koKdqGgV4SszObAcQSpfgw,2017-03,© Google,"0,90,180,270","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.451,3.135&fov=90&heading=0&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.451,3.135&fov=90&heading=90&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.451,3.135&fov=90&heading=180&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.451,3.135&fov=90&heading=270&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4"
6.452,3.137,ycr3AWpMANSWZRb7GpMjRg,2017-03,© Google,"0,90,180,270","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.452,3.137&fov=90&heading=0&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.452,3.137&fov=90&heading=90&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.452,3.137&fov=90&heading=180&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.452,3.137&fov=90&heading=270&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4"
6.453,3.139,Wj7EwB66dIoiNB0yZtuOyg,2019-11,© Google,"0,90,180,270","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.453,3.139&fov=90&heading=0&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.453,3.139&fov=90&heading=90&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.453,3.139&fov=90&heading=180&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.453,3.139&fov=90&heading=270&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4"
6.454,3.14,qqmeRuyet5K40ZqW38yC5A,2017-03,© Google,"0,90,180,270","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.454,3.14&fov=90&heading=0&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.454,3.14&fov=90&heading=90&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.454,3.14&fov=90&heading=180&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.454,3.14&fov=90&heading=270&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4"
6.457,3.128,EEbyMksSkYxpsqQbj801tg,2019-11,© Google,"0,90,180,270","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.457,3.128&fov=90&heading=0&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.457,3.128&fov=90&heading=90&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.457,3.128&fov=90&heading=180&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.457,3.128&fov=90&heading=270&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4"
6.458,3.129,8znzUuOA28h-Hl9emib7Ew,2017-03,© Google,"0,90,180,270","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.458,3.129&fov=90&heading=0&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.458,3.129&fov=90&heading=90&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.458,3.129&fov=90&heading=180&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.458,3.129&fov=90&heading=270&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4"
6.458,3.112,UvBTLWpNlrHcLiwmuFozzQ,2017-03,© Google,"0,90,180,270","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.458,3.112&fov=90&heading=0&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.458,3.112&fov=90&heading=90&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.458,3.112&fov=90&heading=180&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.458,3.112&fov=90&heading=270&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4"
6.458,3.146,XERimRWBR4QastODbudTGQ,2019-11,© Google,"0,90,180,270","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.458,3.146&fov=90&heading=0&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.458,3.146&fov=90&heading=90&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.458,3.146&fov=90&heading=180&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.458,3.146&fov=90&heading=270&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4"
6.459,3.148,moN8YwRwl0_FYtKBSiv64Q,2019-11,© Google,"0,90,180,270","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.459,3.148&fov=90&heading=0&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.459,3.148&fov=90&heading=90&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.459,3.148&fov=90&heading=180&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4","https://maps.googleapis.com/maps/api/streetview?size=640x640&location=6.459,3.148&fov=90&heading=270&pitch=0&key=AIzaSyCFCOudFQaSfl_yXZS5RVjdMEhyUOeAZB4"
