lat,lon,pano_id,color
6.45,3.134,HgVpcmJN08mLdVA_K1CyoA,#588CC7
6.451,3.135,koKdqGgV4SszObAcQSpfgw,#588CC7
6.452,3.137,ycr3AWpMANSWZRb7GpMjRg,#588CC7
6.454,3.14,qqmeRuyet5K40ZqW38yC5A,#588CC7
6.453,3.139,Wj7EwB66dIoiNB0yZtuOyg,#588CC7
6.458,3.112,UvBTLWpNlrHcLiwmuFozzQ,#588CC7
6.459,3.131,Wj8bbyh4NsFn-rRluRDaOA,#588CC7
6.458,3.129,8znzUuOA28h-Hl9emib7Ew,#588CC7
6.459,3.113,XTJ3h1SNk7O6bWPKf4sOlA,#588CC7
6.457,3.11,riOlsh5nRQcyi6AibE5LRw,#588CC7
6.458,3.146,XERimRWBR4QastODbudTGQ,#588CC7
6.457,3.128,EEbyMksSkYxpsqQbj801tg,#588CC7
6.459,3.148,moN8YwRwl0_FYtKBSiv64Q,#588CC7
6.457,3.145,Yzwz2FluRNZGA0b5ncA2lQ,#588CC7
6.46,3.132,FEZQRy9ksvo-PCAcSAudKA,#588CC7
6.46,3.115,ENv-1fMzsG57mqpYIvwZ-A,#588CC7
6.46,3.149,0j8vfC_4S0wO3ChhOlKa6g,#588CC7
6.462,3.118,7-QtfjydhgUFvsmA31Px0w,#588CC7
6.461,3.117,apCRTtfygbIpf4aR2jX9IQ,#588CC7
6.463,3.103,UdOwZyyDdUS-nr__9r6gJQ,#588CC7
6.463,3.12,Nb2ltD-QqzWxhwPJWyn0-Q,#588CC7
6.461,3.134,1c_pMsKrGIJc5tustOlgJg,#588CC7
6.463,3.137,G9IKG7-mZO8rUM9l44WLQQ,#588CC7
6.464,3.138,wfVKEz6OMTHyjyjPPU6Y9A,#588CC7
6.465,3.123,fjTB4k325jGWfr0xD9h8qA,#588CC7
6.466,3.124,mGAmpe-Pnvsun0_HYxjvAA,#588CC7
6.464,3.121,LBOSqEoiJYBNh5I5m0LxuQ,#588CC7
6.466,3.142,NtfJh6ohlqOM9sM4OIk0sQ,#588CC7
6.465,3.14,80niUGo5AULvhGi4DedUsQ,#588CC7
6.467,3.126,iFkcphBKkdDcI0m9YISVAQ,#588CC7
6.467,3.143,ySNYkaSvcHzKkSORGtTFtA,#588CC7
6.469,3.146,QLhhFJfs5vpHrBbfMOq6cQ,#588CC7
6.469,3.129,dWjvfw5CiNWg-oejj3_w3A,#588CC7
6.468,3.145,XTC8Qpg72WdydPVKJN2w9g,#588CC7
6.47,3.131,X7d0xTU1IpHC4T1FNA-i3A,#588CC7
6.47,3.148,lhwh-NHBMtuHIalqPKIw_A,#588CC7
6.471,3.149,GTmhv3e1g5nWeyqUr8TGzw,#588CC7
6.475,3.121,OOyeBTNTNd1prfx940XW5g,#588CC7
6.476,3.123,IexE-44gC3EXmUhK883GKg,#588CC7
6.477,3.124,NoubUAbICw78m6UHE8TuWA,#588CC7
6.476,3.14,2qnnAxg90JyeTiw7Lu7MrQ,#588CC7
6.477,3.141,aiLmRAe1WEDW1L8aecpJAQ,#588CC7
6.478,3.126,my9VJUF34N8iWvABYYIqKA,#588CC7
6.478,3.143,t6vGoH0jTYl19vN5v1vjew,#588CC7
6.479,3.127,8BnENmksdSUfQreINNu2yg,#588CC7
6.479,3.145,KTK4bCoPM0gn7II3IddZ5Q,#588CC7
6.48,3.129,a59AuzZoihGcZ8YtYAlKPw,#588CC7
6.48,3.146,1ZHJYtoIHt_5MlKg1HTQfA,#588CC7
6.481,3.13,535iEoJMs2vj7q0kx_gJ4w,#588CC7
6.481,3.148,U0VZfvr0IwcFZgOSw0zKWQ,#588CC7
6.482,3.149,OHACUBbxF7JgUS-DJT08Kg,#588CC7
6.487,3.14,Fi4Y0ZtnvWeUu1HQrKAMbQ,#588CC7
6.487,3.123,QoMpS72p8wZl85xUfBEs0A,#588CC7
6.488,3.124,fpSA49JXFytTdohq-fiMOw,#588CC7
6.488,3.141,5u1tHejYvk9TcafpjWVIbg,#588CC7
6.491,3.129,CMFiVgzZQeGK_PXDgUZKKA,#588CC7
6.49,3.127,-Hx32bkQP6BsbTNSmh2aRA,#588CC7
6.489,3.143,9M0qEeMjhpkKVz1eZn93aA,#588CC7
6.491,3.146,toQMk2jK3dRoB0z2iEp6vw,#588CC7
6.492,3.13,fjpDx91yif3Ix3GaTEgEcw,#588CC7
6.493,3.149,ISuHZKM2N5r6y0AqBjG2eg,#588CC7
6.493,3.115,ho7cmECBR8UvUgmcPMKPgA,#588CC7
6.492,3.148,Rhe_TR9ZKw-h5J8okCnz_Q,#588CC7
6.494,3.116,KBAWAceVTJOBzU28j6xFbw,#588CC7
6.494,3.133,B2UM5bX586wS9x3KLw6hNQ,#588CC7
6.495,3.118,MdcnCySzxOi6qFCU56cWzg,#588CC7
6.495,3.135,xrL6p9aQyD2y0GHQR0vXLQ,#588CC7
6.497,3.138,nLpOpHqcyDn14QijmPE9MQ,#588CC7
6.496,3.119,heUZ0eNTCFF8gsmuIDmsTQ,#588CC7
6.498,3.14,u67Jrm3T_h0RXZ9F0Lhamw,#588CC7
6.498,3.123,f23S_aJ4LK5AxnWNTfZU2g,#588CC7
6.496,3.137,rzr3eaiJNd4uqU_eNvh3BQ,#588CC7
6.497,3.121,VV3z7gGF68UQc2GTFfGFvw,#588CC7
6.499,3.107,ggx-wi3cwsOFW9BqVwnU_w,#588CC7
6.499,3.124,r6xOK7pvAiq3ixdr5RJ3dw,#588CC7
6.501,3.144,OiQl9lZzM1_4OoiyFr1f5Q,#588CC7
6.499,3.141,iWOo36pFjKicgNoPcV4D3A,#588CC7
6.501,3.127,AZJcV0m2rHoUAynTorxKlw,#588CC7
6.5,3.126,TCd94E-y1JKI25sP2xeqRA,#588CC7
6.5,3.143,DOAHkOA6zarqdZZ8pp_now,#588CC7
6.502,3.146,zFM5y8t2NOjDnnWhFYxaDA,#588CC7
6.506,3.101,rzvvfR_SkLJQPJVClzpTVw,#588CC7
6.503,3.147,grCP-1huYzVw1kfnZqgK7g,#588CC7
6.507,3.102,AciHpDVbX9gUekIocXGwZg,#588CC7
6.528,3.135,sh_uBxUgMd5GSrDS3sMA5A,#588CC7
6.527,3.133,sJTok3SeUMFVEJqNDV3rvg,#588CC7
6.529,3.136,MjV9nzmQPoRsH8qJiZxcrA,#588CC7
6.53,3.138,KPdXzkC4OGaPsdSYmUO45w,#588CC7
6.534,3.127,uVnpCqKkNX0OUCI_Vh1p1w,#588CC7
6.536,3.13,Fg1qIrix8Wjs0MYJ1NRG1w,#588CC7
6.535,3.128,5MhfOzOBg3svK1twdQ-ZAw,#588CC7
6.537,3.132,rBslCUSKNtuFhNlCduYCVQ,#588CC7
6.538,3.133,Sus64dcWsIiOecU-YnkK1A,#588CC7
6.539,3.135,UqSGpDxIampAtinPAa8PCg,#588CC7
6.54,3.136,hY_wVxW38_ijUjrubPn8QA,#588CC7
6.541,3.121,atkqmq2nJLAHOcI7umaSyA,#588CC7
6.542,3.122,lyVfTqt2m98-hifIr4o0Vg,#588CC7
6.543,3.124,TFszvhh7HHkdsaSR2ne8qA,#588CC7
6.544,3.125,nK_yh2Frfxl46w39pZfEZw,#588CC7
6.546,3.128,5gH_oQ1Kvx0FGzmWQppS5A,#588CC7
6.547,3.13,1UvUFKhi3d2H236py-8TAQ,#588CC7
6.451,3.168,PVPzFbyL-LuH72ocJsyThQ,#588CC7
6.45,3.167,qh4BeY3MSN7t7KAXvufllg,#588CC7
6.452,3.186,pCdwfdZ97J9iJmA4D1B-yg,#588CC7
6.452,3.168,Fv28MIQyelahfu6iJCwj1Q,#588CC7
6.453,3.186,9faFXQJXXAxnru9OPPqhQg,#588CC7
6.455,3.187,qDdBQ2nD5L0pGoL-8x1nSQ,#588CC7
6.456,3.153,eh1mjq0mXYovEKygf6DN_g,#588CC7
6.456,3.188,lVd1agoFL7E9gi2N99i7VA,#588CC7
6.457,3.154,FEjyba8fikQGtfX5rHY_sg,#588CC7
6.456,3.171,_Vgcy0yqWqUxVhCFDk7WIw,#588CC7
6.459,3.172,4y1Cud3piaJ5PmqLwzvaHw,#588CC7
6.458,3.189,OFD4PGBsXT8ZZPDofVNmGQ,#588CC7
6.457,3.188,nNf5Qozk8d8JUBo0vdzT7g,#588CC7
6.459,3.155,TYXqa0wRs6rRBUNYLRp14w,#588CC7
6.457,3.171,wqe-cl2wHgBhVg1bzFyY3Q,#588CC7
6.458,3.172,kM-Jo38hQaEyUr8t4iWMfg,#588CC7
6.458,3.155,phw3-byEgNdYVjLeBokH8A,#588CC7
6.46,3.156,AsSh_FIDKZ9YFt5HWJKNlw,#588CC7
6.459,3.19,MEjn3zIBYE3QHKIT0ijxVw,#588CC7
6.46,3.173,TV546ON_hAwa2OELshNxbA,#588CC7
6.462,3.157,Km23dZ27GQux1A2-GX9wVw,#588CC7
6.462,3.191,m8XSs3ft3oc9YT32opQVqg,#588CC7
6.462,3.174,pQDnW9fuKReEVtjsYmPUhg,#588CC7
6.461,3.191,8gNgVltBjQ0uJWbsqMYIdA,#588CC7
6.461,3.173,BaOXk1n5jkV5Bi5TxxX5lg,#588CC7
6.46,3.19,B_qawg0ibQhJhpdWsHQizA,#588CC7
6.461,3.156,pl5vJ7GRytajr60Cox_FgQ,#588CC7
6.463,3.157,zPa_1YQUeSOLX6rJP3FMSg,#588CC7
6.463,3.175,dv_mdT3KPBI87CcCBQQUow,#588CC7
6.464,3.158,RoZIjxKu9IsquQhWdvjTzw,#588CC7
6.463,3.192,TqwEf-mDn2ENoKE4JZreiw,#588CC7
6.466,3.159,5Cl2RuLQ9oEbdlTFzPbV9g,#588CC7
6.464,3.175,cjt1EpGor6pUonw4w6lT6A,#588CC7
6.465,3.176,_pGm23gFg7qqS-qSRwBlyQ,#588CC7
6.465,3.158,tSfaphMnDq19JOd8o6wmgw,#588CC7
6.467,3.16,qOP3BU2APKXVnYBOXpFd6A,#588CC7
6.466,3.176,lv61tjph8vjkZ0YGCyjA2Q,#588CC7
6.467,3.177,srT8w8KQE2-r1vDKrkCk0A,#588CC7
6.468,3.177,0UDGY4iPLwcCMYQFHZOX-g,#588CC7
6.468,3.194,NfaBPwfDvYUOqDDf8wFBYQ,#588CC7
6.469,3.161,BSe98mjRZwCu--KFIEyuOg,#588CC7
